Estado;Cidade;Serventia;Tipo de Certidao;Forma de Entrega;Valor
Acre;Acrelândia;OFICIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E ANEXOS;Certidão de Protesto;E-mail;100
Acre;Assis Brasil;SERVICOS DE NOTAS, PROTESTOS E REGISTROS DA COMARCA DE ASSIS BRASIL;Certidão de Protesto;E-mail;100
Acre;Brasiléia;SERVIÇO NOTARIAL E REGISTRAL DA COMARCA DE BRASILÉIA;Certidão de Protesto;E-mail;100
Acre;Bujari;Serventia Extrajudicial de Bujari;Certidão de Protesto;E-mail;100
Acre;Capixaba;SERVENTIA DE REGISTRO PUBLICO E TABELIONATO DE CAPIXABA;Certidão de Protesto;E-mail;100
Acre;Cruzeiro do Sul;TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Acre;Epitaciolândia;TABELIONATO DE PROTESTO DE TÍTULOS DA COMARCA DE EPITACIOLANDIA;Certidão de Protesto;E-mail;100
Acre;Feijó;TABELIONATO DE PROTESTO DE TITULOS DE FEIJO;Certidão de Protesto;E-mail;100
Acre;Mâncio Lima;CARTORIO DE MÂNCIO LIMA;Certidão de Protesto;E-mail;100
Acre;Manoel Urbano;TABELIONATO DE NOTAS, PROTESTO DE TITULOS, REGISTRO CIVIL DAS PESSOAS NATURAIS, DE IMOVEIS, DE TITULOS E DOCUMENTOS E DAS PESSOAS JURIDICAS;Certidão de Protesto;E-mail;100
Acre;Plácido de Castro;OFICIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS E ANEXOS;Certidão de Protesto;E-mail;100
Acre;Porto Acre;Serventia Extrajudicial de Porto Acre;Certidão de Protesto;E-mail;100
Acre;Porto Walter;Cartório Porto Walter;Certidão de Protesto;E-mail;100
Acre;Rio Branco;1 TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;E-mail;100
Acre;Rio Branco;2 TABELIONATO DE PROTESTO DE TITULOS;Certidão de Protesto;;
Acre;Rodrigues Alves;SERVENTIA EXTRAJUDICIAL DE RODRIGUES ALVES;Certidão de Protesto;E-mail;100
Acre;Sena Madureira;SERVENTIA EXTRAJUDICIAL DE SENA MADUREIRA;Certidão de Protesto;E-mail;100
Acre;Senador Guiomard;OFICIO DE REGISTRO CIVIL, TABELIONATO DE NOTAS E ANEXOS;Certidão de Protesto;E-mail;100
Acre;Tarauacá;SERVENTIA EXTRAJUDICIAL DE TARAUACÁ;Certidão de Protesto;E-mail;100
Acre;Xapuri;TABELIONATO DE PROTESTOS DE TITULOS;Certidão de Protesto;E-mail;100
